State,Latitude,Longitude,Cluster_db
Andhra Pradesh,15.91,79.74,
Arunachal Pradesh,28.21,94.72,
Assam,26.2,92.93,
Bihar,25.09,85.31,
Chhattisgarh,21.27,81.86,
Goa,15.29,74.12,
Gujarat,22.25,71.19,
Haryana,29.05,76.08,
Himachal Pradesh,31.1,77.17,
Jammu & Kashmir,33.77,76.57,
Jharkhand,23.61,85.27,
Karnataka,15.31,75.71,
Kerala,10.85,76.27,
Madhya Pradesh,22.97,78.65,
Maharashtra,19.75,75.71,
Manipur,24.66,93.9,
Meghalaya,25.46,91.36,
Mizoram,23.16,92.93,
Nagaland,26.15,94.56,
Odisha,20.95,85.09,
Punjab,31.14,75.34,
Rajasthan,27.02,74.21,
Sikkim,27.53,88.51,
Tamil Nadu,11.12,78.65,
Tripura,23.94,91.98,
Uttarakhand,30.06,79.01,
Uttar Pradesh,26.84,80.94,
West Bengal,22.98,87.85,
Lakshadweep,10.57,72.64,
Puducherry,11.94,79.8,
